session_id,source_sheet,volume_m,normalized_blocks,normalization_method,status
RKF-13-14-77,Treinos_13_14,4400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-78,Treinos_13_14,4500,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-79,Treinos_13_14,4400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-80,Treinos_13_14,4600,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-081,Treinos_13_14,4300,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-082,Treinos_13_14,4400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-083,Treinos_13_14,4300,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-084,Treinos_13_14,4400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-085,Treinos_13_14,4500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-086,Treinos_13_14,4400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-087,Treinos_13_14,4500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-088,Treinos_13_14,4300,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-089,Treinos_13_14,4400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-090,Treinos_13_14,4500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-091,Treinos_13_14,4600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-092,Treinos_13_14,4300,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-093,Treinos_13_14,4400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-094,Treinos_13_14,4500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-095,Treinos_13_14,4400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-096,Treinos_13_14,4300,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-097,Treinos_13_14,4400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-098,Treinos_13_14,4600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-099,Treinos_13_14,4300,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-100,Treinos_13_14,4600,9,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-01,Treinos_15_16,7200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-02,Treinos_15_16,6800,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-03,Treinos_15_16,7400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-04,Treinos_15_16,6600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-05,Treinos_15_16,7200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-06,Treinos_15_16,6800,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-07,Treinos_15_16,6400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-08,Treinos_15_16,7600,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-09,Treinos_15_16,7000,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-10,Treinos_15_16,7000,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-11,Treinos_15_16,7800,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-12,Treinos_15_16,7400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-13,Treinos_15_16,6800,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-14,Treinos_15_16,8000,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-15,Treinos_15_16,6600,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-16,Treinos_15_16,7200,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-17,Treinos_15_16,7600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-18,Treinos_15_16,7200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-19,Treinos_15_16,7400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-20,Treinos_15_16,8000,9,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-21,Treinos_15_16,7600,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-22,Treinos_15_16,6600,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-23,Treinos_15_16,7000,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-24,Treinos_15_16,7200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-25,Treinos_15_16,6800,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-26,Treinos_15_16,7400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-27,Treinos_15_16,6400,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-28,Treinos_15_16,8000,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-29,Treinos_15_16,6400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-30,Treinos_15_16,7200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-31,Treinos_15_16,6800,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-32,Treinos_15_16,7800,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-33,Treinos_15_16,6600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-34,Treinos_15_16,7400,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-35,Treinos_15_16,6800,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-36,Treinos_15_16,6200,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-37,Treinos_15_16,7000,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-38,Treinos_15_16,8000,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-39,Treinos_15_16,6400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-40,Treinos_15_16,8000,10,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-41,Treinos_15_16,7400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-42,Treinos_15_16,7200,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-43,Treinos_15_16,7400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-44,Treinos_15_16,7600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-45,Treinos_15_16,7200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-46,Treinos_15_16,7600,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-47,Treinos_15_16,7000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-48,Treinos_15_16,7400,5,already_exact_or_explicit_zero,EXACT_910_READY
